Random Forest Predictions
Source,Prediction
ya_YA13_02-12-2016_10:20:17_298,0
ya_YA13_02-12-2016_10:20:17_320,0
ya_YA13_02-12-2016_10:20:17_342,0
ya_YA13_02-12-2016_10:20:17_386,0
ya_YA13_02-12-2016_10:20:17_408,0
ya_YA13_02-12-2016_10:20:17_496,0
ya_YA13_02-12-2016_10:20:17_518,0
ya_YA13_02-12-2016_10:20:17_540,0
ya_YA13_02-12-2016_10:20:17_562,0
ya_YA13_02-12-2016_10:20:17_584,0
ya_YA13_02-12-2016_10:20:17_606,0
ya_YA13_02-12-2016_10:20:17_628,0
ya_YA13_02-12-2016_10:20:17_650,0
ya_YA13_02-12-2016_10:20:17_672,0
ya_YA13_02-12-2016_10:20:17_694,1
ya_YA13_02-12-2016_10:20:17_716,1
ya_YA13_02-12-2016_10:20:17_738,0
ya_YA13_02-12-2016_10:20:17_760,0
ya_YA13_02-12-2016_10:20:17_782,0
ya_YA13_02-12-2016_10:20:17_850,0
ya_YA13_02-12-2016_10:20:17_872,0
ya_YA13_02-12-2016_10:20:17_894,0
ya_YA13_02-12-2016_10:20:17_916,0
ya_YA13_02-12-2016_10:20:17_938,0
ya_YA13_02-12-2016_10:20:17_960,0
ya_YA13_02-12-2016_10:20:17_982,0
ya_YA13_02-12-2016_10:20:17_1004,0
ya_YA13_02-12-2016_10:20:17_1026,0
ya_YA13_02-12-2016_10:20:17_1048,0
ya_YA13_02-12-2016_10:20:17_1070,0
ya_YA13_02-12-2016_10:20:17_1092,0
ya_YA13_02-12-2016_10:20:17_1114,0
ya_YA13_02-12-2016_10:20:17_1136,0
ya_YA13_02-12-2016_10:20:17_1158,0
ya_YA13_02-12-2016_10:20:17_1180,0
ya_YA13_02-12-2016_10:20:17_1202,0
ya_YA13_02-12-2016_10:20:17_1224,0
ya_YA13_02-12-2016_10:20:17_1246,1
ya_YA13_02-12-2016_10:20:17_1268,1
ya_YA13_02-12-2016_10:20:17_1290,0
ya_YA13_02-12-2016_10:20:17_1312,0
ya_YA13_02-12-2016_10:20:17_1334,0
ya_YA13_02-12-2016_10:20:17_1356,0
ya_YA13_02-12-2016_10:20:17_1378,0
ya_YA13_02-12-2016_10:20:17_1400,0
ya_YA13_02-12-2016_10:20:17_1422,0
ya_YA13_02-12-2016_10:20:17_1444,0
ya_YA13_02-12-2016_10:20:17_1466,0
ya_YA13_02-12-2016_10:20:17_1488,0
ya_YA13_02-12-2016_10:20:17_1510,0
ya_YA13_02-12-2016_10:20:17_1532,0
ya_YA13_02-12-2016_10:20:17_1554,0
ya_YA13_02-12-2016_10:20:17_1576,0
ya_YA13_02-12-2016_10:20:17_1598,0
ya_YA13_02-12-2016_10:20:17_1620,0
ya_YA13_02-12-2016_10:20:17_1642,0
ya_YA13_02-12-2016_10:20:17_1664,0
ya_YA13_02-12-2016_10:20:17_1686,0
ya_YA13_02-12-2016_10:20:17_1708,0
ya_YA13_02-12-2016_10:20:17_1730,0
ya_YA13_02-12-2016_10:20:17_1752,0
ya_YA13_02-12-2016_10:20:17_1774,0
ya_YA13_02-12-2016_10:20:17_1796,0
ya_YA13_02-12-2016_10:20:17_1818,0
ya_YA13_02-12-2016_10:20:17_1840,0
ya_YA13_02-12-2016_10:20:17_1862,0
ya_YA13_02-12-2016_10:20:17_1884,0
ya_YA13_02-12-2016_10:20:17_1906,0
ya_YA13_02-12-2016_10:20:17_1928,0
ya_YA13_02-12-2016_10:20:17_1950,0
ya_YA13_02-12-2016_10:20:17_1972,0
ya_YA13_02-12-2016_10:20:17_1994,0
ya_YA13_02-12-2016_10:20:17_2038,0
ya_YA13_02-12-2016_10:20:17_2060,0
ya_YA13_02-12-2016_10:20:17_2082,0
ya_YA13_02-12-2016_10:20:17_2104,0
ya_YA13_02-12-2016_10:20:17_2126,0
ya_YA13_02-12-2016_10:20:17_2148,0
ya_YA13_02-12-2016_10:20:17_2170,0
ya_YA13_02-12-2016_10:20:17_2192,0
ya_YA13_02-12-2016_10:20:17_2214,0
ya_YA13_02-12-2016_10:20:17_2236,0
ya_YA13_02-12-2016_10:20:17_2258,0
ya_YA13_02-12-2016_10:20:17_2280,0
ya_YA13_02-12-2016_10:20:17_2302,0
ya_YA13_02-12-2016_10:20:17_2324,0
ya_YA13_02-12-2016_10:20:17_2346,0
ya_YA13_02-12-2016_10:20:17_2368,0
ya_YA13_02-12-2016_10:20:17_2390,0
ya_YA13_02-12-2016_10:20:17_2412,0
ya_YA13_02-12-2016_10:20:17_2434,0
ya_YA13_02-12-2016_10:20:17_2456,0
ya_YA13_02-12-2016_10:20:17_2478,0
